city,pm2_5_ugm3,pm10_ugm3,co_ugm3,no2_ugm3,so2_ugm3,o3_ugm3,hour,day_of_week,month,is_weekend,city_enc,AQI_lag_1,AQI_lag_6,AQI_lag_24
raipur,7.139196,0.6684062,0.31757885,0.5614535,0.70773864,5.8134723,3.8922763,0.027339999,0.38258028,0.0044004926,0.44839752,27.45759,1.7912484,1.0441551
ranchi,6.508862,0.7582527,0.24190477,0.2669504,0.2828585,5.3138256,3.98739,0.056008223,0.35711044,0.0031201493,0.40675995,24.341753,2.6244411,0.9920953
shillong,6.176222,1.0480686,0.1887039,0.27227804,0.18844083,3.1460629,3.5170984,0.14427345,0.26256737,0.0025398105,0.67504054,29.153603,3.8329744,1.1751455
shimla,5.8724084,0.92040414,0.21131341,0.24799202,0.18306051,5.4429345,4.138198,0.06605825,0.34279522,0.0026821536,0.45356527,20.296246,3.8717494,0.75279534
thiruvananthapuram,6.31178,0.8522649,0.15221106,0.23563787,0.1509119,4.1726503,3.9304774,0.079926044,0.3026594,0.0024437571,0.57537043,27.564548,4.297021,1.0517925
visakhapatnam,5.996101,0.6549654,0.36405823,0.6049561,0.9841352,3.9000707,3.7709534,0.033936784,0.366681,0.005378655,0.48808116,23.82158,2.1613865,0.94794565
