city,pm2_5_ugm3,pm10_ugm3,co_ugm3,no2_ugm3,so2_ugm3,o3_ugm3,hour,day_of_week,month,is_weekend,city_enc,AQI_lag_1,AQI_lag_6,AQI_lag_24
raipur,11.037122,1.493856,0.91403633,0.72894865,2.4702063,4.985255,1.5350599,0.2798298,2.704362,0.017565979,4.8701897,21.065136,2.8077662,0.8381303
ranchi,9.922523,1.6158676,0.8372109,0.5308916,1.6075014,3.9566805,1.4183514,0.30313364,2.9135745,0.029755834,5.602628,19.483835,2.3600323,0.89015144
shillong,9.095785,2.1873472,0.61869717,0.46108916,1.771392,3.114312,1.2950073,0.45280585,2.95459,0.04063663,6.874474,23.754158,1.8775367,1.6476027
shimla,7.8788867,1.7115369,0.7962607,0.5801627,1.6268424,4.501052,1.5106274,0.412252,3.1875694,0.03930473,5.979401,18.438824,1.7193564,1.0472893
thiruvananthapuram,7.898305,1.7494111,0.79825914,0.52340853,1.4394342,3.5316918,1.2110759,0.45456472,2.9972956,0.048341658,6.5123835,24.330544,1.8747128,1.3078139
visakhapatnam,9.353448,1.359445,1.0928292,0.89492214,2.6874306,4.2836657,1.3760064,0.3222205,2.9252088,0.025263712,5.0359097,18.438046,2.2136414,0.8592735
