city,pm2_5_ugm3,pm10_ugm3,co_ugm3,no2_ugm3,so2_ugm3,o3_ugm3,hour,day_of_week,month,is_weekend,city_enc,AQI_lag_1,AQI_lag_6,AQI_lag_24
raipur,13.752722,0.86235005,1.1756555,1.0663311,1.0790408,3.6820076,5.4818892,0.028745012,1.0625045,7.975948e-05,1.3339319,17.50915,5.2592797,2.1677127
ranchi,13.013935,1.0039972,1.1141374,0.63475114,1.0579373,3.0015633,5.5582833,0.028382171,1.2044876,0.00012452494,1.2801037,15.515441,5.0533195,1.9250717
shillong,13.1877575,1.2945338,1.0488096,0.65178627,1.1254388,2.2219503,4.333071,0.02849653,1.0571411,0.00025321415,1.4814006,19.09333,5.093679,1.7641442
shimla,12.1284685,1.076661,1.1755389,0.6922112,1.0539206,3.2429073,5.3739486,0.026641402,1.4432187,0.000119936565,1.3877552,12.222897,5.365873,1.3979461
thiruvananthapuram,13.068024,1.0006471,1.104638,0.51161367,0.8823376,2.5426555,4.5260553,0.033291705,1.2714014,9.7459764e-05,1.4118593,17.651184,5.6554947,1.5725633
visakhapatnam,12.302456,0.8190866,1.514971,1.3075316,1.2842702,3.312675,5.5198336,0.031896103,1.2791338,7.795962e-05,1.4921564,14.637888,4.6576247,1.7195109
