country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,year,month,day,hour,weekday,pollutant_range,aqi_category,season
India,Delhi,Delhi,"Nsut Jaffarpur, Delhi - Dpcc",2026-03-13 15:00:00,28.594004,76.909423,Pm10,32.0,214.5,214.5,2026,3,13,15,Friday,182.5,N/A,Summer
India,Delhi,Delhi,"Nsut Jaffarpur, Delhi - Dpcc",2026-03-13 15:00:00,28.594004,76.909423,No2,1.0,85.0,41.0,2026,3,13,15,Friday,84.0,N/A,Summer
India,Delhi,Delhi,"Nsut Jaffarpur, Delhi - Dpcc",2026-03-13 15:00:00,28.594004,76.909423,So2,40.5,40.5,40.5,2026,3,13,15,Friday,0.0,N/A,Summer
India,Delhi,Delhi,"Lodhi Road, Delhi - Imd",2026-03-13 15:00:00,28.5918245,77.2273074,Pm10,112.0,214.5,178.0,2026,3,13,15,Friday,102.5,N/A,Summer
India,Delhi,Delhi,"Lodhi Road, Delhi - Imd",2026-03-13 15:00:00,28.5918245,77.2273074,No2,11.0,54.0,30.0,2026,3,13,15,Friday,43.0,N/A,Summer
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - Dpcc",2026-03-13 15:00:00,28.611281,77.237738,Co,14.0,61.0,40.0,2026,3,13,15,Friday,47.0,N/A,Summer
India,Delhi,Delhi,"Najafgarh, Delhi - Dpcc",2026-03-13 15:00:00,28.570173,76.933762,Pm2.5,22.0,213.0,190.0,2026,3,13,15,Friday,191.0,N/A,Summer
India,Delhi,Delhi,"Najafgarh, Delhi - Dpcc",2026-03-13 15:00:00,28.570173,76.933762,Co,14.0,61.0,37.0,2026,3,13,15,Friday,47.0,N/A,Summer
India,Delhi,Delhi,"Nehru Nagar, Delhi - Dpcc",2026-03-13 15:00:00,28.56789,77.250515,So2,16.0,40.5,33.0,2026,3,13,15,Friday,24.5,N/A,Summer
India,Delhi,Delhi,"New Moti Bagh, Delhi - Mhua",2026-03-13 15:00:00,28.57834,77.184,Pm2.5,75.0,213.0,213.0,2026,3,13,15,Friday,138.0,N/A,Summer
India,Delhi,Delhi,"New Moti Bagh, Delhi - Mhua",2026-03-13 15:00:00,28.57834,77.184,No2,8.0,9.0,9.0,2026,3,13,15,Friday,1.0,N/A,Summer
India,Delhi,Delhi,"Jahangirpuri, Delhi - Dpcc",2026-03-13 15:00:00,28.73282,77.170633,Pm2.5,40.0,213.0,206.0,2026,3,13,15,Friday,173.0,N/A,Summer
India,Delhi,Delhi,"Jahangirpuri, Delhi - Dpcc",2026-03-13 15:00:00,28.73282,77.170633,Co,22.0,61.0,38.0,2026,3,13,15,Friday,39.0,N/A,Summer
India,Delhi,Delhi,"North Campus, Du, Delhi - Imd",2026-03-13 15:00:00,28.6573814,77.1585447,Ozone,11.0,114.0,24.0,2026,3,13,15,Friday,103.0,N/A,Summer
India,Delhi,Delhi,"Burari Crossing, Delhi - Imd",2026-03-13 15:00:00,28.7256504,77.2011573,Ozone,11.0,114.0,68.0,2026,3,13,15,Friday,103.0,N/A,Summer
India,Gujarat,Ahmedabad,"Sac Isro Bopal, Ahmedabad - Iitm",2026-03-13 15:00:00,23.041137,72.456691,Nh3,5.0,15.5,10.0,2026,3,13,15,Friday,10.5,N/A,Summer
India,Gujarat,Ahmedabad,"Sac Isro Satellite, Ahmedabad - Iitm",2026-03-13 15:00:00,23.023389,72.515201,No2,3.0,32.0,16.0,2026,3,13,15,Friday,29.0,N/A,Summer
India,Gujarat,Ahmedabad,"Svpi Airport Hansol, Ahmedabad - Iitm",2026-03-13 15:00:00,23.076793,72.627874,Pm2.5,35.0,178.0,97.0,2026,3,13,15,Friday,143.0,N/A,Summer
India,Gujarat,Ahmedabad,"Svpi Airport Hansol, Ahmedabad - Iitm",2026-03-13 15:00:00,23.076793,72.627874,No2,12.0,85.0,72.0,2026,3,13,15,Friday,73.0,N/A,Summer
India,Gujarat,Ahmedabad,"Svpi Airport Hansol, Ahmedabad - Iitm",2026-03-13 15:00:00,23.076793,72.627874,So2,6.0,40.5,22.0,2026,3,13,15,Friday,34.5,N/A,Summer
India,Gujarat,Ahmedabad,"Svpi Airport Hansol, Ahmedabad - Iitm",2026-03-13 15:00:00,23.076793,72.627874,Ozone,3.0,114.0,80.0,2026,3,13,15,Friday,111.0,N/A,Summer
India,Gujarat,Gandhinagar,"Gift City, Gandhinagar - Iitm",2026-03-13 15:00:00,23.163798,72.677768,Pm10,120.0,201.0,165.0,2026,3,13,15,Friday,81.0,N/A,Summer
India,Gujarat,Gandhinagar,"Gift City, Gandhinagar - Iitm",2026-03-13 15:00:00,23.163798,72.677768,Ozone,2.0,77.0,38.0,2026,3,13,15,Friday,75.0,N/A,Summer
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - Iitm",2026-03-13 15:00:00,22.977134,72.553024,No2,14.0,40.0,26.0,2026,3,13,15,Friday,26.0,N/A,Summer
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - Gpcb",2026-03-13 15:00:00,23.002657,72.591912,Pm2.5,63.0,213.0,111.0,2026,3,13,15,Friday,150.0,N/A,Summer
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - Gpcb",2026-03-13 15:00:00,23.002657,72.591912,No2,81.0,85.0,85.0,2026,3,13,15,Friday,4.0,N/A,Summer
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - Iitm",2026-03-13 15:00:00,23.020509,72.579261,Pm2.5,49.0,213.0,127.0,2026,3,13,15,Friday,164.0,N/A,Summer
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - Iitm",2026-03-13 15:00:00,23.020509,72.579261,No2,15.0,85.0,85.0,2026,3,13,15,Friday,70.0,N/A,Summer
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - Iitm",2026-03-13 15:00:00,23.020509,72.579261,Nh3,14.0,15.5,15.5,2026,3,13,15,Friday,1.5,N/A,Summer
India,Delhi,Delhi,"Shadipur, Delhi - Cpcb",2026-03-13 15:00:00,28.6514781,77.1473105,So2,12.0,20.0,15.0,2026,3,13,15,Friday,8.0,N/A,Summer
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - Dpcc",2026-03-13 15:00:00,28.531346,77.190156,Pm2.5,47.0,213.0,162.0,2026,3,13,15,Friday,166.0,N/A,Summer
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - Dpcc",2026-03-13 15:00:00,28.531346,77.190156,Pm10,96.0,214.5,151.0,2026,3,13,15,Friday,118.5,N/A,Summer
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - Dpcc",2026-03-13 15:00:00,28.531346,77.190156,No2,15.0,68.0,43.0,2026,3,13,15,Friday,53.0,N/A,Summer
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - Dpcc",2026-03-13 15:00:00,28.531346,77.190156,Nh3,4.0,7.0,6.0,2026,3,13,15,Friday,3.0,N/A,Summer
India,Delhi,Delhi,"Talkatora Garden, Delhi - Dpcc",2026-03-13 15:00:00,28.62181,77.1944633,Ozone,1.0,13.0,8.0,2026,3,13,15,Friday,12.0,N/A,Summer
India,Delhi,Delhi,"Pusa, Delhi - Imd",2026-03-13 15:00:00,28.63611,77.173332,Pm10,83.0,196.0,138.0,2026,3,13,15,Friday,113.0,N/A,Summer
India,Delhi,Delhi,"R K Puram, Delhi - Dpcc",2026-03-13 15:00:00,28.563262,77.186937,So2,1.0,40.5,40.5,2026,3,13,15,Friday,39.5,N/A,Summer
