country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",13-03-2026 15:00,28.6701,76.9254,OZONE,15,20,18
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",13-03-2026 15:00,28.3419248,77.319699,SO2,1,7,5
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",13-03-2026 15:00,28.806223,76.141105,PM2.5,42,366,134
India,Haryana,Jind,"Police Lines, Jind - HSPCB",13-03-2026 15:00,29.307814,76.337619,NH3,4,6,5
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",13-03-2026 15:00,29.8006,76.4155,NO2,13,33,30
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",13-03-2026 15:00,29.8006,76.4155,NH3,2,6,6
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",13-03-2026 15:00,29.8006,76.4155,OZONE,8,25,16
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",13-03-2026 15:00,29.6953,77.0027,PM2.5,28,222,92
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",13-03-2026 15:00,29.6953,77.0027,SO2,2,5,3
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",13-03-2026 15:00,22.969611,72.6435,PM10,93,270,130
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",13-03-2026 15:00,22.969611,72.6435,NO2,47,178,128
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",13-03-2026 15:00,22.969611,72.6435,NH3,3,16,10
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",13-03-2026 15:00,22.969611,72.6435,CO,12,77,24
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",13-03-2026 15:00,27.9002,76.9938,SO2,31,37,34
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",13-03-2026 15:00,28.360699,76.93609,NO2,33,42,38
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",13-03-2026 15:00,28.4275,77.1465,NO2,36,75,56
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",13-03-2026 15:00,28.4501238,77.0263051,NO2,9,46,26
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",13-03-2026 15:00,27.9002,76.9938,PM2.5,41,90,73
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",13-03-2026 15:00,27.9002,76.9938,PM10,46,101,82
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB",13-03-2026 15:00,29.0272,77.0621,PM10,53,113,85
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB",13-03-2026 15:00,29.0272,77.0621,OZONE,25,26,26
India,Haryana,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",13-03-2026 15:00,30.1480566,77.2893471,PM2.5,99,220,150
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",13-03-2026 15:00,30.943887,76.801991,CO,35,88,49
India,Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC",13-03-2026 15:00,34.031606,75.009712,PM10,15,168,46
India,Jammu_and_Kashmir,Pampore,"Khrew, Pampore - JKPCC",13-03-2026 15:00,34.031606,75.009712,NO2,14,33,22
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKPCC",13-03-2026 15:00,34.066206,74.81982,PM2.5,13,27,18
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKPCC",13-03-2026 15:00,34.066206,74.81982,SO2,3,4,3
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",13-03-2026 15:00,23.80569,86.44268,PM10,97,459,203
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",13-03-2026 15:00,28.060249,76.113115,CO,13,40,32
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",13-03-2026 15:00,28.060249,76.113115,OZONE,3,19,12
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",13-03-2026 15:00,28.3153,76.9143,NO2,6,110,57
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",13-03-2026 15:00,30.7057778,76.85318056,CO,8,56,44
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB",13-03-2026 15:00,29.432304,76.972765,PM10,102,150,124
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB",13-03-2026 15:00,29.432304,76.972765,CO,48,50,48
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB",13-03-2026 15:00,28.52123,76.37138,PM2.5,78,266,153
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB",13-03-2026 15:00,28.52123,76.37138,PM10,66,138,102
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",13-03-2026 15:00,16.172806,75.659694,NH3,1,2,1
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",13-03-2026 15:00,16.172806,75.659694,OZONE,11,12,12
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",13-03-2026 15:00,12.9352049,77.6814488,PM2.5,75,290,168
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",13-03-2026 15:00,12.9352049,77.6814488,NO2,15,32,22
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",13-03-2026 15:00,12.9352049,77.6814488,OZONE,12,39,27
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",13-03-2026 15:00,12.951913,77.539784,NH3,2,3,3
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",13-03-2026 15:00,12.951913,77.539784,SO2,10,26,18
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",13-03-2026 15:00,12.9756843,77.5660749,PM10,108,109,108
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",13-03-2026 15:00,12.9756843,77.5660749,CO,57,68,62
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",13-03-2026 15:00,12.938539,77.5901,PM2.5,58,186,107
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",13-03-2026 15:00,12.938539,77.5901,CO,11,40,17
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",13-03-2026 15:00,13.0270199,77.494094,PM2.5,18,49,32
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",13-03-2026 15:00,13.0270199,77.494094,PM10,83,105,94
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",13-03-2026 15:00,12.921418,77.502466,NH3,3,4,4
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB",13-03-2026 15:00,28.52123,76.37138,SO2,10,13,12
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB",13-03-2026 15:00,28.52123,76.37138,CO,32,41,34
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB",13-03-2026 15:00,29.5364,75.0158,PM2.5,63,333,88
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",13-03-2026 15:00,12.921418,77.502466,CO,1,40,33
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",13-03-2026 15:00,12.7816279,77.6299145,PM2.5,42,88,66
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB",13-03-2026 15:00,29.5364,75.0158,NO2,18,79,23
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB",13-03-2026 15:00,16.7602,77.1428,PM2.5,50,99,73
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",13-03-2026 15:00,10.073232,76.302765,PM10,70,80,75
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",13-03-2026 15:00,10.073232,76.302765,SO2,1,1,1
India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB",13-03-2026 15:00,11.875,75.3732,NO2,16,16,16
India,Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB",13-03-2026 15:00,11.875,75.3732,NH3,2,2,2
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB",13-03-2026 15:00,8.8787,76.6073,PM2.5,NA,NA,NA
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB",13-03-2026 15:00,8.8787,76.6073,NH3,NA,NA,NA
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB",13-03-2026 15:00,8.5637,76.8865,PM2.5,21,121,48
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB",13-03-2026 15:00,8.5637,76.8865,PM10,52,117,85
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",13-03-2026 15:00,12.415911,75.73505,PM2.5,22,50,38
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",13-03-2026 15:00,12.415911,75.73505,CO,10,23,14
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",13-03-2026 15:00,12.21041,76.37376,NO2,10,25,17
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",13-03-2026 15:00,12.733409,77.298051,PM2.5,29,122,63
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",13-03-2026 15:00,12.733409,77.298051,SO2,6,15,10
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",13-03-2026 15:00,13.94,75.555917,PM2.5,34,52,36
India,Karnataka,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB",13-03-2026 15:00,16.802639,75.722694,PM2.5,29,31,30
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",13-03-2026 15:00,13.328028,75.797056,NO2,5,25,17
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",13-03-2026 15:00,15.459706,75.008381,CO,14,86,64
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",13-03-2026 15:00,15.3714823,75.1160168,PM2.5,46,51,50
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",13-03-2026 15:00,15.3714823,75.1160168,PM10,61,67,65
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",13-03-2026 15:00,15.3714823,75.1160168,NH3,1,2,2
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",13-03-2026 15:00,11.55358,76.55521,NO2,12,35,22
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",13-03-2026 15:00,11.55358,76.55521,SO2,3,7,4
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",13-03-2026 15:00,11.55358,76.55521,OZONE,10,38,32
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",13-03-2026 15:00,13.428828,77.731418,PM2.5,55,100,75
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",13-03-2026 15:00,13.428828,77.731418,NH3,2,3,3
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",13-03-2026 15:00,8.5149093,76.9435879,PM2.5,18,48,28
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",13-03-2026 15:00,8.5149093,76.9435879,PM10,28,73,43
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",13-03-2026 15:00,8.5149093,76.9435879,NO2,NA,NA,NA
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB",13-03-2026 15:00,10.5324,76.2159,PM2.5,NA,NA,NA
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB",13-03-2026 15:00,10.5324,76.2159,SO2,NA,NA,NA
India,Madhya Pradesh,Bhopal,"Idgah Hills, Bhopal - MPPCB",13-03-2026 15:00,23.264759,77.381568,PM2.5,25,103,55
India,Madhya Pradesh,Bhopal,"Idgah Hills, Bhopal - MPPCB",13-03-2026 15:00,23.264759,77.381568,NH3,5,8,6
India,Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",13-03-2026 15:00,23.210494,77.425409,OZONE,4,70,54
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",13-03-2026 15:00,13.0246342,77.5080115,PM10,70,94,79
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",13-03-2026 15:00,13.0246342,77.5080115,NO2,23,24,23
India,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",13-03-2026 15:00,23.10844,77.511428,PM2.5,64,345,150
India,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",13-03-2026 15:00,23.10844,77.511428,OZONE,14,129,91
India,Madhya Pradesh,Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab",13-03-2026 15:00,23.331731,75.045981,NO2,12,46,23
India,Madhya Pradesh,Sagar,"Civil Lines, Sagar - MPPCB",13-03-2026 15:00,23.838586,78.759431,SO2,6,17,11
India,Madhya Pradesh,Sagar,"Deen Dayal Nagar, Sagar - MPPCB",13-03-2026 15:00,23.8640158,78.80289321,PM2.5,10,135,48
India,Madhya Pradesh,Gwalior,"Maharaj Bada, Gwalior - MPPCB",13-03-2026 15:00,26.200388,78.147714,NO2,8,39,19
India,Madhya Pradesh,Gwalior,"Maharaj Bada, Gwalior - MPPCB",13-03-2026 15:00,26.200388,78.147714,SO2,11,23,16
India,Madhya Pradesh,Gwalior,"Maharaj Bada, Gwalior - MPPCB",13-03-2026 15:00,26.200388,78.147714,CO,5,127,48
India,Madhya Pradesh,Indore,"Airport Area, Indore - IMC",13-03-2026 15:00,22.7289,75.8076,PM2.5,48,183,82
